DATE,THREEFF7
2021-03-29,2.6640
2021-03-30,2.6915
2021-03-31,2.7191
2021-04-01,2.6922
2021-04-02,2.7144
2021-04-05,2.7117
2021-04-06,2.6592
2021-04-07,2.6474
2021-04-08,2.6088
2021-04-09,2.6181
2021-04-12,2.6298
2021-04-13,2.5903
2021-04-14,2.5878
2021-04-15,2.5171
2021-04-16,2.5144
2021-04-19,2.5257
2021-04-20,2.4991
2021-04-21,2.4858
2021-04-22,2.4766
2021-04-23,2.4866
2021-04-26,2.4883
2021-04-27,2.5240
2021-04-28,2.5331
2021-04-29,2.5514
2021-04-30,2.5594
2021-05-03,2.5460
2021-05-04,2.5287
2021-05-05,2.5037
2021-05-06,2.4922
2021-05-07,2.4887
2021-05-10,2.5085
2021-05-11,2.5284
2021-05-12,2.5912
2021-05-13,2.5919
2021-05-14,2.5756
2021-05-17,2.5789
2021-05-18,2.5755
2021-05-19,2.6098
2021-05-20,2.5800
2021-05-21,2.5735
2021-05-24,2.5544
2021-05-25,2.5081
2021-05-26,2.4997
2021-05-27,2.5211
2021-05-28,2.5046
2021-05-31,.
2021-06-01,2.5279
2021-06-02,2.5194
2021-06-03,2.5475
2021-06-04,2.4977
2021-06-07,2.4840
2021-06-08,2.4483
2021-06-09,2.4021
2021-06-10,2.3531
2021-06-11,2.3467
2021-06-14,2.3712
2021-06-15,2.3786
2021-06-16,2.4405
2021-06-17,2.4203
2021-06-18,2.3557
2021-06-21,2.3504
2021-06-22,2.3285
2021-06-23,2.3360
2021-06-24,2.3317
2021-06-25,2.3605
2021-06-28,2.3315
2021-06-29,2.3196
2021-06-30,2.2867
2021-07-01,2.2927
2021-07-02,2.2612
2021-07-05,.
2021-07-06,2.1945
2021-07-07,2.1364
2021-07-08,2.0858
2021-07-09,2.1172
2021-07-12,2.1302
2021-07-13,2.1631
2021-07-14,2.1286
2021-07-15,2.0755
2021-07-16,2.0593
2021-07-19,1.9538
2021-07-20,1.9329
2021-07-21,1.9812
2021-07-22,1.9696
2021-07-23,1.9873
2021-07-26,1.9943
2021-07-27,1.9656
2021-07-28,1.9614
2021-07-29,1.9775
2021-07-30,1.9563
2021-08-02,1.9114
2021-08-03,1.8862
2021-08-04,1.8788
2021-08-05,1.9092
2021-08-06,1.9741
2021-08-09,2.0126
2021-08-10,2.0490
2021-08-11,2.0557
2021-08-12,2.0795
2021-08-13,2.0378
2021-08-16,1.9935
2021-08-17,1.9845
2021-08-18,1.9827
2021-08-19,1.9602
2021-08-20,1.9621
2021-08-23,1.9489
2021-08-24,1.9722
2021-08-25,2.0271
2021-08-26,2.0460
2021-08-27,2.0273
2021-08-30,2.0068
2021-08-31,2.0123
2021-09-01,2.0160
2021-09-02,2.0090
2021-09-03,2.0281
2021-09-06,.
2021-09-07,2.0734
2021-09-08,2.0639
2021-09-09,2.0344
2021-09-10,2.0578
2021-09-13,2.0506
2021-09-14,2.0125
2021-09-15,2.0180
2021-09-16,2.0495
2021-09-17,2.0885
2021-09-20,2.0521
2021-09-21,2.0514
2021-09-22,2.0502
2021-09-23,2.1211
2021-09-24,2.1838
2021-09-27,2.2251
2021-09-28,2.2864
2021-09-29,2.3174
2021-09-30,2.3147
2021-10-01,2.2823
2021-10-04,2.2845
2021-10-05,2.3220
2021-10-06,2.3294
2021-10-07,2.3699
2021-10-08,2.4110
2021-10-11,.
2021-10-12,2.4113
2021-10-13,2.3906
2021-10-14,2.3458
2021-10-15,2.3791
2021-10-18,2.3870
2021-10-19,2.4223
2021-10-20,2.4401
2021-10-21,2.4785
2021-10-22,2.4609
2021-10-25,2.4328
2021-10-26,2.4121
2021-10-27,2.3391
2021-10-28,2.3392
2021-10-29,2.3306
2021-11-01,2.3407
2021-11-02,2.3088
2021-11-03,2.3312
2021-11-04,2.2744
2021-11-05,2.2000
2021-11-08,2.2285
2021-11-09,2.1827
2021-11-10,2.2611
2021-11-11,.
2021-11-12,2.2870
2021-11-15,2.3249
2021-11-16,2.3446
2021-11-17,2.3306
2021-11-18,2.3124
2021-11-19,2.2785
2021-11-22,2.3372
2021-11-23,2.3720
2021-11-24,2.3688
2021-11-25,.
2021-11-26,2.2294
2021-11-29,2.2151
2021-11-30,2.1509
2021-12-01,2.1230
2021-12-02,2.1123
2021-12-03,2.0213
2021-12-06,2.0414
2021-12-07,2.0689
2021-12-08,2.0817
2021-12-09,2.0632
2021-12-10,2.0526
2021-12-13,2.0048
2021-12-14,2.0037
2021-12-15,2.0210
2021-12-16,1.9831
2021-12-17,1.9593
2021-12-20,1.9544
2021-12-21,1.9961
2021-12-22,2.0005
2021-12-23,2.0227
2021-12-24,.
2021-12-27,2.0133
2021-12-28,2.0052
2021-12-29,2.0507
2021-12-30,2.0419
2021-12-31,2.0369
2022-01-03,2.1350
2022-01-04,2.1882
2022-01-05,2.2463
2022-01-06,2.2846
2022-01-07,2.3283
2022-01-10,2.3497
2022-01-11,2.3341
2022-01-12,2.3155
2022-01-13,2.2779
2022-01-14,2.3245
2022-01-17,.
2022-01-18,2.3984
2022-01-19,2.3843
2022-01-20,2.3684
2022-01-21,2.2992
2022-01-24,2.2838
2022-01-25,2.3021
2022-01-26,2.3585
2022-01-27,2.3250
2022-01-28,2.2610
2022-01-31,2.2408
2022-02-01,2.2327
2022-02-02,2.2035
2022-02-03,2.2248
2022-02-04,2.3018
2022-02-07,2.2965
2022-02-08,2.3196
2022-02-09,2.3121
2022-02-10,2.3641
2022-02-11,2.2606
2022-02-14,2.2640
2022-02-15,2.2926
2022-02-16,2.2834
2022-02-17,2.2428
